x_m,y_m
18.263037,-3.857012
18.269058,-3.859427
18.277651,-3.862793
18.284544,-3.865540
18.291252,-3.868265
18.297947,-3.871014
18.304363,-3.873688
18.310873,-3.875999
18.317907,-3.878758
18.324469,-3.881156
18.332878,-3.884230
18.340033,-3.886826
18.345749,-3.888900
18.352610,-3.891239
18.359316,-3.893710
18.366220,-3.896098
18.373272,-3.898403
18.378628,-3.900238
18.388453,-3.903251
18.395636,-3.905446
18.401617,-3.907343
18.408386,-3.909419
18.415545,-3.911620
18.422089,-3.913496
18.427990,-3.915078
18.431168,-3.916001
18.433250,-3.916817
18.432648,-3.916415
18.432465,-3.916091
18.432659,-3.916168
18.432737,-3.916275
18.432650,-3.916194
18.432964,-3.916218
18.433186,-3.916297
18.435019,-3.916117
18.439312,-3.916466
18.444271,-3.916861
18.452053,-3.916972
18.459633,-3.917152
18.467682,-3.916955
18.475586,-3.917179
18.481359,-3.917241
18.491348,-3.917158
18.498402,-3.917284
18.504625,-3.917150
18.511723,-3.916894
18.519075,-3.916946
18.527021,-3.916764
18.534224,-3.916416
18.542959,-3.916196
18.550205,-3.915929
18.557529,-3.915467
18.563414,-3.915300
18.571032,-3.915040
18.578262,-3.914617
18.585779,-3.914401
18.593140,-3.913695
18.599123,-3.913294
18.609201,-3.912519
18.617294,-3.911891
18.623184,-3.911455
18.630140,-3.910781
18.637352,-3.910284
18.644386,-3.909458
18.651773,-3.908783
18.658129,-3.908046
18.667782,-3.907005
18.674913,-3.906309
18.681368,-3.905482
18.688715,-3.904902
18.696150,-3.903752
18.703516,-3.902813
18.710354,-3.901818
18.716961,-3.900901
18.726685,-3.899327
18.733767,-3.898217
18.739740,-3.897300
18.747244,-3.895946
18.754026,-3.894744
18.760889,-3.893479
18.769657,-3.891970
18.774422,-3.891068
18.783991,-3.889015
18.791107,-3.887515
18.797184,-3.886340
18.804413,-3.884761
18.811373,-3.883195
18.818748,-3.881631
18.825596,-3.880114
18.831642,-3.878671
18.841831,-3.876375
18.848436,-3.874850
18.854786,-3.873329
18.861876,-3.871523
18.868841,-3.869905
18.875887,-3.868067
18.884819,-3.865830
18.888586,-3.864746
18.898668,-3.861985
18.905226,-3.860220
18.911358,-3.858358
18.918419,-3.856367
18.925566,-3.854335
18.932467,-3.852234
18.939034,-3.850197
18.944933,-3.848198
18.954832,-3.845235
18.961060,-3.843097
18.967602,-3.841049
18.974335,-3.838596
18.981400,-3.836316
18.988407,-3.833718
18.995258,-3.831352
19.000898,-3.829337
19.010687,-3.825632
19.017429,-3.823254
19.022968,-3.821196
19.030050,-3.818537
19.036898,-3.816032
19.043833,-3.813443
19.051764,-3.810230
19.055882,-3.808598
19.064636,-3.805064
19.071424,-3.802297
19.077848,-3.799419
19.084866,-3.796476
19.090168,-3.794063
19.097029,-3.791217
19.103687,-3.788349
19.110130,-3.785373
19.118378,-3.781547
19.125097,-3.778412
19.131271,-3.775586
19.138195,-3.772469
19.143818,-3.769893
19.151171,-3.766314
19.157801,-3.763089
19.162884,-3.760439
19.172054,-3.755896
19.178377,-3.752336
19.183548,-3.749621
19.189795,-3.746270
19.196312,-3.742768
19.202883,-3.739411
19.209347,-3.735887
19.214523,-3.733022
19.223524,-3.727925
19.229637,-3.724451
19.234615,-3.721544
19.241222,-3.717688
19.248037,-3.713758
19.254551,-3.709992
19.262205,-3.705391
19.266273,-3.702928
19.275244,-3.697928
19.281792,-3.693958
19.286856,-3.690990
19.293699,-3.686738
19.299431,-3.682884
19.306404,-3.678685
19.313858,-3.673536
19.317793,-3.671225
19.325209,-3.666449
19.327730,-3.664869
19.328827,-3.664028
19.328804,-3.663931
19.328209,-3.664043
19.328253,-3.664222
19.328304,-3.664210
19.328165,-3.664089
19.328230,-3.663931
19.328114,-3.664077
19.327921,-3.664231
19.327887,-3.664187
19.327730,-3.664058
19.327757,-3.664075
19.327642,-3.664111
19.327761,-3.664094
19.327274,-3.664227
19.327269,-3.664292
19.327288,-3.664226
19.327181,-3.664138
19.327007,-3.664273
19.326996,-3.664295
19.326876,-3.664201
19.326862,-3.664069
19.326778,-3.664319
19.326485,-3.664658
19.326611,-3.664443
19.326723,-3.664266
19.326715,-3.663954
19.327055,-3.662636
19.327923,-3.659044
19.329468,-3.654079
19.331522,-3.646774
19.333916,-3.636201
19.335833,-3.629449
19.337666,-3.622125
19.339310,-3.614810
19.340752,-3.607966
19.342457,-3.600983
19.343960,-3.594785
19.346491,-3.584241
19.348234,-3.576887
19.349480,-3.570886
19.351171,-3.563405
19.352699,-3.556438
19.353874,-3.550760
19.354458,-3.547229
19.354946,-3.545170
19.355286,-3.545256
19.354307,-3.546367
19.354233,-3.546543
19.354752,-3.545747
19.354126,-3.543712
19.354691,-3.539724
19.355108,-3.532109
19.354906,-3.527335
19.355541,-3.516329
19.355324,-3.508486
19.355379,-3.501526
19.355572,-3.494545
19.355385,-3.488644
19.355650,-3.485293
19.355408,-3.483833
19.355410,-3.483630
19.355148,-3.484495
19.355093,-3.484394
19.355240,-3.484606
19.354933,-3.484737
19.355028,-3.484281
19.354765,-3.484238
19.354788,-3.484129
19.354948,-3.484095
19.354937,-3.484405
19.355003,-3.484926
19.354782,-3.485341
19.355072,-3.484853
19.354954,-3.485037
19.354780,-3.485324
19.355011,-3.485054
19.354841,-3.484989
19.354601,-3.485428
19.354576,-3.485155
19.354618,-3.485170
19.354559,-3.484992
19.354589,-3.485156
19.354549,-3.485486
19.354736,-3.485432
19.354767,-3.485403
19.354452,-3.485653
19.354498,-3.485484
19.354612,-3.485515
19.354660,-3.485785
19.354437,-3.485896
19.354559,-3.485872
19.354599,-3.485728
19.354548,-3.485678
19.354496,-3.486332
19.354605,-3.486267
19.354525,-3.485838
19.354492,-3.485864
19.354572,-3.485936
19.354456,-3.486094
19.354624,-3.486212
19.354441,-3.486236
19.354555,-3.486372
19.354490,-3.486468
19.354248,-3.486292
19.354248,-3.486340
19.354582,-3.486762
19.354607,-3.486611
19.354324,-3.486424
19.354216,-3.486480
19.354397,-3.486652
19.354521,-3.486796
19.354366,-3.486593
19.354383,-3.486777
19.354498,-3.486892
19.354191,-3.486784
19.351143,-3.486255
19.348742,-3.486026
19.340370,-3.485060
19.332487,-3.483967
19.325743,-3.483299
19.317835,-3.482525
19.310093,-3.481595
19.302223,-3.481069
19.294716,-3.480191
19.288422,-3.479842
19.281303,-3.479292
19.270887,-3.478429
19.264832,-3.478060
19.257381,-3.477429
19.249752,-3.476843
19.241962,-3.476550
19.234430,-3.476042
19.228170,-3.475652
19.217398,-3.475281
19.210028,-3.474885
19.203463,-3.474760
19.195807,-3.474583
19.188141,-3.474475
19.180710,-3.474376
19.173452,-3.474273
19.167105,-3.474279
19.156807,-3.474465
19.148977,-3.474342
19.142975,-3.474504
19.135118,-3.474689
19.127584,-3.474912
19.120153,-3.475224
19.112452,-3.475435
19.106316,-3.475594
19.095625,-3.475967
19.088520,-3.476132
19.081854,-3.476439
19.074215,-3.476721
19.066774,-3.477004
19.059795,-3.477491
19.051945,-3.478197
19.045708,-3.478641
19.035370,-3.479529
19.027777,-3.480179
19.021742,-3.480730
19.013765,-3.481523
19.006100,-3.482318
18.999205,-3.483019
18.989578,-3.483975
18.984970,-3.484526
18.974827,-3.485941
18.966507,-3.486785
18.960012,-3.487658
18.952703,-3.488708
18.945606,-3.489797
18.938570,-3.490758
18.930857,-3.491948
18.924314,-3.492769
18.916794,-3.493964
18.907173,-3.495633
18.900827,-3.496848
18.893152,-3.498123
18.885635,-3.499403
18.878176,-3.500926
18.870985,-3.502133
18.864437,-3.503409
18.854162,-3.505335
18.847149,-3.506673
18.840704,-3.508268
18.833437,-3.509825
18.826300,-3.511477
18.818665,-3.513129
18.811934,-3.514714
18.805342,-3.516191
18.794937,-3.518712
18.788115,-3.520358
18.781912,-3.521876
18.774376,-3.523793
18.766916,-3.525654
18.759489,-3.527719
18.752441,-3.529477
18.746155,-3.531188
18.735817,-3.534070
18.728392,-3.536336
18.722422,-3.538054
18.715502,-3.540184
18.708170,-3.542315
18.700468,-3.544650
18.693192,-3.546943
18.687407,-3.548615
18.677195,-3.551730
18.670147,-3.554015
18.664364,-3.555991
18.657118,-3.558604
18.650887,-3.560619
18.647381,-3.561891
18.645145,-3.562147
18.643608,-3.562672
18.640757,-3.563233
18.638613,-3.563813
18.636028,-3.564368
18.633423,-3.564830
18.631781,-3.565121
18.629566,-3.565403
18.627325,-3.565493
18.624693,-3.566077
18.621819,-3.566143
18.619726,-3.566339
18.617743,-3.566414
18.615271,-3.566445
18.613047,-3.566484
18.610617,-3.566472
18.608553,-3.566445
18.606600,-3.566204
18.603266,-3.566011
18.600719,-3.565741
18.598906,-3.565455
18.594753,-3.565084
18.588598,-3.564310
18.581327,-3.563216
18.573767,-3.562706
18.566582,-3.561879
18.555637,-3.560520
18.548607,-3.560067
18.542927,-3.559146
18.535358,-3.558567
18.527533,-3.557722
18.520117,-3.557317
18.512642,-3.556839
18.506672,-3.556184
18.495750,-3.555339
18.489782,-3.554958
18.487471,-3.554573
18.485281,-3.554183
18.483723,-3.553673
18.481539,-3.553306
18.478411,-3.552980
18.476431,-3.552372
18.473312,-3.551795
18.471321,-3.551200
18.469576,-3.550668
18.467308,-3.549975
18.464649,-3.549062
18.462345,-3.548436
18.460718,-3.547637
18.458977,-3.547011
18.455462,-3.545451
18.451536,-3.543955
18.447023,-3.542223
18.439514,-3.539028
18.432186,-3.535820
18.424801,-3.532654
18.417503,-3.529609
18.412178,-3.527201
18.405603,-3.524321
18.395847,-3.520229
18.390453,-3.517913
18.383621,-3.514978
18.376751,-3.512100
18.369699,-3.508890
18.362814,-3.505921
18.354910,-3.502563
18.349207,-3.500073
18.346039,-3.498691
18.344988,-3.497769
18.343073,-3.496905
18.340919,-3.496103
18.339228,-3.494432
18.336752,-3.493330
18.335085,-3.492257
18.332560,-3.490783
18.330750,-3.489421
18.329044,-3.488275
18.327038,-3.486962
18.325354,-3.485679
18.323608,-3.484342
18.321775,-3.482811
18.320263,-3.481502
18.317558,-3.479162
18.310999,-3.473873
18.305609,-3.468896
18.299849,-3.463507
18.293903,-3.458127
18.288567,-3.453442
18.283022,-3.448612
18.278431,-3.444718
18.272486,-3.439526
18.264582,-3.432841
18.259836,-3.428465
18.254232,-3.423431
18.248407,-3.418489
18.242607,-3.413280
18.237137,-3.408462
18.231892,-3.403648
18.226114,-3.398253
18.219395,-3.392066
18.216143,-3.388579
18.214256,-3.386513
18.213209,-3.385180
18.212128,-3.384051
18.211012,-3.382390
18.209227,-3.379895
18.208273,-3.378776
18.206257,-3.375818
18.204109,-3.372549
18.200012,-3.366197
18.195293,-3.358466
18.191063,-3.351086
18.187386,-3.345007
18.184740,-3.339617
18.180225,-3.330341
18.177023,-3.323102
18.174480,-3.317491
18.171482,-3.310553
18.168444,-3.303524
18.165583,-3.296063
18.162895,-3.288939
18.160654,-3.282941
18.157455,-3.272871
18.155348,-3.265938
18.154028,-3.260096
18.152241,-3.252501
18.150703,-3.245311
18.149342,-3.238280
18.148096,-3.230999
18.147285,-3.224655
18.146063,-3.214196
18.145681,-3.206910
18.145458,-3.200821
18.145279,-3.193140
18.145327,-3.185352
18.145502,-3.177542
18.145884,-3.169825
18.146271,-3.163973
18.147131,-3.153870
18.148262,-3.146219
18.148962,-3.140301
18.150406,-3.133021
18.152075,-3.125610
18.153721,-3.117867
18.155674,-3.110426
18.156885,-3.104638
18.159845,-3.094380
18.161390,-3.087220
18.162998,-3.081329
18.165037,-3.074122
18.166861,-3.066644
18.168850,-3.059344
18.170685,-3.052007
18.172150,-3.046347
18.175188,-3.035799
18.176962,-3.028752
18.178762,-3.022777
18.180502,-3.016141
18.182571,-3.007987
18.184387,-3.000463
18.186169,-2.993746
18.187725,-2.987957
18.190451,-2.977298
18.192400,-2.970547
18.193947,-2.964247
18.195749,-2.956783
18.197643,-2.949815
18.199663,-2.942453
18.201576,-2.934989
18.203148,-2.929568
18.205784,-2.919058
18.207724,-2.911744
18.209459,-2.905449
18.211130,-2.898468
18.213093,-2.891026
18.214788,-2.883798
18.216850,-2.876358
18.218418,-2.870335
18.221178,-2.859729
18.223227,-2.852836
18.224827,-2.846834
18.226606,-2.839744
18.228764,-2.832002
18.230618,-2.824939
18.232950,-2.816878
18.234465,-2.811090
18.236895,-2.803967
18.240215,-2.793821
18.242361,-2.788315
18.245344,-2.781300
18.248327,-2.774336
18.251518,-2.767710
18.254866,-2.760999
18.257845,-2.755599
18.262800,-2.746744
18.266550,-2.740594
18.270050,-2.735035
18.274590,-2.728504
18.278688,-2.722608
18.282961,-2.717118
18.288017,-2.710843
18.294119,-2.703502
18.298800,-2.698301
18.303930,-2.692482
18.308466,-2.688030
18.313866,-2.682807
18.319555,-2.677370
18.324747,-2.672675
18.330233,-2.667949
18.334528,-2.663801
18.342031,-2.657434
18.347923,-2.652032
18.352734,-2.647685
18.358665,-2.642446
18.363802,-2.637475
18.369202,-2.632486
18.374750,-2.627252
18.380272,-2.622427
18.386267,-2.617394
18.394110,-2.610969
18.399101,-2.607142
18.405205,-2.602630
18.411430,-2.598434
18.417412,-2.594379
18.423220,-2.590875
18.429157,-2.587731
18.435467,-2.583965
18.444523,-2.579448
18.450842,-2.576471
18.457602,-2.573200
18.464449,-2.570393
18.471767,-2.567493
18.478146,-2.565161
18.484934,-2.562896
18.494757,-2.559566
18.501278,-2.557915
18.507872,-2.556108
18.515602,-2.554354
18.522995,-2.552788
18.530367,-2.551750
18.537807,-2.550702
18.544052,-2.549981
18.551804,-2.549272
18.562376,-2.548451
18.568399,-2.548294
18.575903,-2.548049
18.582853,-2.548045
18.590769,-2.548362
18.598509,-2.548891
18.604662,-2.549438
18.615103,-2.550574
18.622671,-2.551625
18.628239,-2.552610
18.635946,-2.553845
18.643549,-2.555376
18.651058,-2.557367
18.658340,-2.558981
18.664011,-2.560805
18.673826,-2.563870
18.681427,-2.566680
18.686686,-2.568904
18.693848,-2.571637
18.700022,-2.574379
18.707676,-2.577620
18.713989,-2.580511
18.720343,-2.583126
18.728445,-2.586852
18.736607,-2.590089
18.742300,-2.592698
18.749203,-2.595870
18.756199,-2.598869
18.762749,-2.601858
18.769299,-2.604891
18.775354,-2.607640
18.784853,-2.612025
18.791832,-2.614932
18.797224,-2.617470
18.804052,-2.620404
18.810780,-2.623287
18.817671,-2.626574
18.824734,-2.629534
18.830666,-2.632210
18.840324,-2.636365
18.847235,-2.639579
18.852804,-2.642009
18.859894,-2.645282
18.866812,-2.648464
18.873402,-2.651223
18.880428,-2.654300
18.886202,-2.656577
18.895853,-2.660616
18.902592,-2.663212
18.908197,-2.665441
18.915518,-2.668389
18.922113,-2.670879
18.929331,-2.673506
18.937000,-2.676025
18.942722,-2.678240
18.952757,-2.681702
18.960159,-2.684343
18.965511,-2.686160
18.971556,-2.688205
18.974901,-2.689528
18.976656,-2.689837
18.977043,-2.690206
18.976393,-2.689792
18.975578,-2.689147
18.975662,-2.689398
18.975969,-2.689389
18.976177,-2.689303
18.975803,-2.688991
18.975935,-2.689206
18.977825,-2.689410
18.980745,-2.689412
18.989182,-2.690183
18.997190,-2.690654
19.003969,-2.690933
19.012157,-2.691358
19.019932,-2.691554
19.027153,-2.691742
19.035021,-2.691789
19.041355,-2.691974
19.051022,-2.691955
19.058363,-2.692033
19.064934,-2.692136
19.070919,-2.692156
19.074495,-2.692142
19.075829,-2.692076
19.075436,-2.692053
19.074749,-2.691578
19.075167,-2.691708
19.075075,-2.691556
19.075106,-2.691433
19.075241,-2.691516
19.075203,-2.691607
19.075081,-2.691575
19.075224,-2.691478
19.075195,-2.691513
19.075516,-2.691650
19.075027,-2.691689
19.075069,-2.691716
19.075054,-2.691747
19.074968,-2.691752
19.075081,-2.691574
19.075079,-2.691464
19.074917,-2.691519
19.074980,-2.691463
19.074781,-2.691346
19.074549,-2.691391
19.074816,-2.691388
19.074772,-2.691347
19.074535,-2.691407
19.074272,-2.691473
19.074505,-2.691532
19.074383,-2.691502
19.074089,-2.691503
19.074205,-2.691398
19.074148,-2.691403
19.074238,-2.691320
19.073952,-2.691280
19.074183,-2.691237
19.074009,-2.691494
19.073656,-2.691605
19.073751,-2.691581
19.073694,-2.691616
19.073809,-2.691531
19.073353,-2.691832
19.073307,-2.691911
19.073442,-2.691810
19.073532,-2.691612
19.073305,-2.691548
19.073397,-2.691488
19.073122,-2.691602
19.074142,-2.689702
19.075809,-2.685776
19.077698,-2.680497
19.080816,-2.673201
19.083586,-2.666109
19.086399,-2.658322
19.089817,-2.648654
19.091839,-2.643008
19.094503,-2.636175
19.097141,-2.629043
19.099453,-2.622311
19.102247,-2.614368
19.103966,-2.608985
19.106455,-2.601777
19.109646,-2.591840
19.111647,-2.585804
19.113808,-2.579642
19.115570,-2.573691
19.116774,-2.569962
19.117096,-2.568189
19.117237,-2.567878
19.116739,-2.568566
19.116812,-2.568934
19.116537,-2.569224
19.116642,-2.569058
19.116600,-2.568675
19.116566,-2.568481
19.116493,-2.568396
19.116762,-2.566947
19.116663,-2.561205
19.117025,-2.554418
19.117308,-2.548217
19.117111,-2.539913
19.117355,-2.531972
19.117367,-2.524016
19.117393,-2.516775
19.117352,-2.510956
19.117229,-2.503500
19.117207,-2.493279
19.117218,-2.486911
19.116943,-2.478727
19.116943,-2.470746
19.116716,-2.464190
19.116470,-2.456070
19.116245,-2.450120
19.115622,-2.439347
19.115217,-2.432081
19.114908,-2.425913
19.114386,-2.418397
19.113869,-2.410582
19.113426,-2.403439
19.112787,-2.395557
19.112343,-2.389419
19.111769,-2.381749
19.111031,-2.371373
19.110403,-2.365624
19.109682,-2.357995
19.108784,-2.350130
19.107979,-2.342356
19.107122,-2.335203
19.106392,-2.328776
19.105110,-2.318626
19.104063,-2.310897
19.103231,-2.304668
19.102133,-2.297149
19.101248,-2.290048
19.100151,-2.283214
19.098944,-2.274919
19.097984,-2.268415
19.096470,-2.258340
19.095360,-2.251764
19.094364,-2.245399
19.092981,-2.238130
19.091764,-2.230167
19.090319,-2.223172
19.089035,-2.215861
19.087765,-2.209306
19.085577,-2.198796
19.084038,-2.191318
19.082735,-2.185279
19.081085,-2.178049
19.079407,-2.170678
19.077797,-2.163401
19.075914,-2.155670
19.074547,-2.149736
19.072598,-2.141965
19.070246,-2.132258
19.068647,-2.126035
19.066450,-2.118433
19.064548,-2.111121
19.062683,-2.104408
19.060560,-2.096979
19.058905,-2.090708
19.056782,-2.083530
19.053789,-2.073332
19.052010,-2.067421
19.049673,-2.060102
19.047445,-2.052854
19.045225,-2.045782
19.043001,-2.038914
19.041012,-2.032555
19.038736,-2.025486
19.035345,-2.015874
19.033360,-2.009626
19.030561,-2.001876
19.027996,-1.994552
19.025675,-1.987734
19.023252,-1.981460
19.021090,-1.975256
19.018347,-1.968097
19.014679,-1.958390
19.012506,-1.952696
19.010269,-1.946894
19.008837,-1.943494
