x_m,y_m
7.007278,10.701944
7.011455,10.713696
7.014476,10.723023
7.017592,10.732244
7.020720,10.741445
7.023542,10.750005
7.026747,10.759151
7.029899,10.768636
7.033113,10.778006
7.037025,10.789785
7.040144,10.799406
7.043247,10.808681
7.046176,10.817566
7.049184,10.826766
7.052265,10.835973
7.055419,10.845266
7.058492,10.854715
7.062486,10.867037
7.065720,10.876278
7.068666,10.885092
7.072004,10.894809
7.075087,10.904423
7.078269,10.913202
7.081320,10.922704
7.084253,10.931797
7.087431,10.941104
7.091370,10.952878
7.094155,10.961660
7.097230,10.971143
7.100361,10.980474
7.103461,10.989908
7.106445,10.998856
7.109471,11.008107
7.113447,11.020510
7.116423,11.029548
7.119562,11.038576
7.122787,11.047997
7.125932,11.057210
7.128959,11.066554
7.132153,11.075766
7.135212,11.084994
7.138340,11.094058
7.142565,11.106851
7.145530,11.115905
7.148200,11.124431
7.149291,11.128568
7.149441,11.128651
7.149813,11.130179
7.150376,11.131873
7.150322,11.131792
7.150075,11.130999
7.150182,11.131123
7.150145,11.131134
7.150158,11.131078
7.150156,11.131141
7.150164,11.131097
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150163,11.131128
7.150091,11.131099
7.149907,11.130617
7.149230,11.127750
7.146938,11.119229
7.142527,11.105503
7.138371,11.091788
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.137379,11.088950
7.138217,11.088695
7.138465,11.090812
7.138858,11.091303
7.139020,11.091232
7.138888,11.091228
7.139066,11.091053
7.139014,11.091331
7.138103,11.092780
7.136950,11.090973
7.138034,11.090398
7.137770,11.091664
7.137649,11.091034
7.137866,11.091029
7.137774,11.091269
7.137913,11.091418
7.138011,11.091563
7.137937,11.091511
7.137977,11.091525
7.137990,11.091542
7.137975,11.091539
7.137990,11.091543
7.137979,11.091540
7.137993,11.091544
7.137986,11.091543
7.137975,11.091540
7.137985,11.091542
7.137964,11.091537
7.137966,11.091537
7.137969,11.091537
7.137961,11.091536
7.137963,11.091536
7.137959,11.091534
7.137955,11.091533
7.137967,11.091536
7.137956,11.091534
7.137962,11.091536
7.137959,11.091535
7.137949,11.091533
7.137957,11.091535
7.137936,11.091529
7.137935,11.091529
7.137940,11.091530
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137931,11.091528
7.137849,11.091456
7.137528,11.090466
7.136034,11.086188
7.133466,11.080767
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.131632,11.075841
7.130577,11.076096
7.130690,11.077651
7.130404,11.075661
7.130363,11.075754
7.130384,11.075887
7.130296,11.075702
7.130162,11.075382
7.130137,11.075253
7.130192,11.075327
7.130116,11.075225
7.130116,11.075279
7.130115,11.075227
7.130109,11.075240
7.130127,11.075252
7.130127,11.075252
7.130125,11.075250
7.130125,11.075250
7.130121,11.075248
7.130119,11.075247
7.130119,11.075247
7.130120,11.075247
7.130126,11.075251
7.130126,11.075251
7.130119,11.075247
7.130119,11.075247
7.130126,11.075251
7.130131,11.075253
7.130131,11.075253
7.130130,11.075253
7.130135,11.075256
7.130135,11.075256
7.130128,11.075253
7.130128,11.075253
7.130125,11.075251
7.130123,11.075250
7.130123,11.075250
7.130126,11.075251
7.130128,11.075253
7.130128,11.075253
7.130128,11.075253
7.130128,11.075253
7.130136,11.075257
7.130136,11.075257
7.130136,11.075257
7.130136,11.075257
7.130136,11.075257
7.130137,11.075258
7.130138,11.075259
7.130138,11.075259
7.130140,11.075260
7.130141,11.075261
7.130141,11.075261
7.130142,11.075262
7.130142,11.075262
7.130143,11.075263
7.130143,11.075263
7.130144,11.075263
7.130144,11.075263
7.130145,11.075264
7.130145,11.075264
7.130145,11.075264
7.130146,11.075264
7.130146,11.075264
7.130146,11.075264
7.130146,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130147,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
7.130148,11.075264
